0,Rank,Song,Artist,Year
3788,88,anything,jaheim featuring next,2002
3789,89,full moon,brandy,2002
3790,90,uh huh,b2k,2002
3791,91,a new day has come,celine dion,2002
3792,92,turn off the light,nelly furtado,2002
3793,93,living and living well,george strait,2002
3794,94,my list,toby keith,2002
3795,95,hands clean,alanis morissette,2002
3796,96,sk8er boi,avril lavigne,2002
3797,97,long time gone,dixie chicks,2002
3798,98,where were you when the world stopped turning,alan jackson,2002
3799,99,like i love you,justin timberlake,2002
3800,100,i do,toya,2002
3801,1,in da club,50 cent,2003
3802,2,ignition remix,r kelly,2003
3803,3,get busy,sean paul,2003
3804,4,crazy in love,beyonce featuring jayz,2003
3805,5,when im gone,3 doors down,2003
3806,6,unwell,matchbox twenty,2003
3807,7,right thurr,chingy,2003
3808,8,miss you,aaliyah,2003
3809,9,picture,kid rock featuring sheryl crow,2003
3810,10,bring me to life,evanescence featuring paul mccoy,2003
3811,11,get low,lil jon  the east side boyz featuring ying yang twins,2003
3812,12,baby boy,beyonce featuring sean paul,2003
3813,13,shake ya tailfeather,nelly p diddy and murphy lee,2003
3814,14,21 questions,50 cent featuring nate dogg,2003
3815,15,all i have,jennifer lopez featuring ll cool j,2003
3816,16,beautiful,christina aguilera,2003
3817,17,i know what you want,busta rhymes and mariah carey featuring flipmode squad,2003
3818,18,im with you,avril lavigne,2003
3819,19,drift away,uncle kracker featuring dobie gray,2003
3820,20,magic stick,lil kim featuring 50 cent,2003
3821,21,pimp,50 cent,2003
3822,22,bump bump bump,b2k and p diddy,2003
3823,23,into you,fabolous featuring tamia,2003
3824,24,cant let you go,fabolous featuring lil mo and mike shorey,2003
3825,25,mesmerize,ja rule featuring ashanti,2003
3826,26,where is the love,the black eyed peas,2003
3827,27,the game of love,santana featuring michelle branch,2003
3828,28,lose yourself,eminem,2003
3829,29,rock wit u awww baby,ashanti,2003
3830,30,cry me a river,justin timberlake,2003
3831,31,how you gonna act like that,tyrese,2003
3832,32,rock your body,justin timberlake,2003
3833,33,no letting go,wayne wonder,2003
3834,34,frontin,pharrell featuring jayz,2003
3835,35,landslide,dixie chicks,2003
3836,36,work it,missy elliott,2003
3837,37,03 bonnie  clyde,jayz featuring beyonce,2003
3838,38,dont mess with my man,nivea featuring jagged edge,2003
3839,39,so gone,monica,2003
3840,40,air force ones,nelly featuring st lunatics,2003
3841,41,never leave you uh oooh uh oooh,lumidee,2003
3842,42,beautiful,snoop dogg featuring pharrell and charlie wilson,2003
3843,43,gossip folks,missy elliott featuring ludacris,2003
3844,44,miss independent,kelly clarkson,2003
3845,45,calling all angels,train,2003
3846,46,damn,youngbloodz featuring lil jon,2003
3847,47,this is the night,clay aiken,2003
3848,48,your body is a wonderland,john mayer,2003
3849,49,headstrong,trapt,2003
3850,50,in those jeans,ginuwine,2003
3851,51,stand up,ludacris featuring shawnna,2003
3852,52,the remedy i wont worry,jason mraz,2003
3853,53,why dont you  i,santana featuring alex band,2003
3854,54,excuse me miss,jayz,2003
3855,55,jenny from the block,jennifer lopez featuring jadakiss and styles p,2003
3856,56,are you happy now,michelle branch,2003
3857,57,forever and for always,shania twain,2003
3858,58,i can,nas,2003
3859,59,underneath it all,no doubt featuring lady saw,2003
3860,60,if youre not the one,daniel bedingfield,2003
3861,61,thoia thoing,r kelly,2003
3862,62,here without you,3 doors down,2003
3863,63,wanksta,50 cent,2003
3864,64,my love is likewo,m'ya,2003
3865,65,its five oclock somewhere,alan jackson featuring jimmy buffett,2003
3866,66,like glue,sean paul,2003
3867,67,cant hold us down,christina aguilera featuring lil kim,2003
3868,68,my front porch looking in,lonestar,2003
3869,69,angel,amanda perez,2003
3870,70,she hates me,puddle of mudd,2003
3871,71,dont wanna try,frankie j,2003
3872,72,the jump off,lil kim featuring mr cheeks,2003
3873,73,intuition,jewel,2003
3874,74,hell yeah,ginuwine featuring baby,2003
3875,75,beer for my horses,toby keith featuring willie nelson,2003
3876,76,holidae in,chingy featuring ludacris and snoop dogg,2003
3877,77,suga suga,baby bash featuring frankie j,2003
3878,78,love of my life an ode to hiphop,erykah badu featuring common,2003
3879,79,fighter,christina aguilera,2003
3880,80,thugz mansion,2pac,2003
3881,81,clocks,coldplay,2003
3882,82,put that woman first,jaheim,2003
3883,83,rain on me,ashanti,2003
3884,84,19 somethin,mark wills,2003
3885,85,cant stop wont stop,young gunz,2003
3886,86,red dirt road,brooks  dunn,2003
3887,87,what was i thinkin,dierks bentley,2003
3888,88,flying without wings,ruben studdard,2003
3889,89,sing for the moment,eminem,2003
3890,90,have you forgotten,darryl worley,2003
3891,91,no shoes no shirt no problems,kenny chesney,2003
3892,92,come over,aaliyah,2003
3893,93,sick of being lonely,field mob,2003
3894,94,step in the name of love,r kelly,2003
3895,95,i want you,thal'ia featuring fat joe,2003
3896,96,like a stone,audioslave,2003
3897,97,dont know why,norah jones,2003
3898,98,superman,eminem,2003
3899,99,real good man,tim mcgraw,2003
3900,100,say yes,floetry,2003
3901,1,yeah,usher featuring lil jon and ludacris,2004
3902,2,burn,usher,2004
3903,3,if i aint got you,alicia keys,2004
3904,4,this love,maroon 5,2004
3905,5,the way you move,outkast featuring sleepy brown,2004
3906,6,the reason,hoobastank,2004
3907,7,i dont wanna know,mario winans featuring enya and p diddy,2004
3908,8,hey ya,outkast,2004
3909,9,goodies,ciara featuring petey pablo,2004
3910,10,lean back,terror squad,2004
3911,11,tipsy,jkwon,2004
3912,12,confessions part ii,usher,2004
3913,13,slow motion,juvenile featuring soulja slim,2004
3914,14,freekaleek,petey pablo,2004
3915,15,here without you,3 doors down,2004
3916,16,slow jamz,twista featuring kanye west and jamie foxx,2004
3917,17,someday,nickelback,2004
3918,18,naughty girl,beyonce,2004
3919,19,my immortal,evanescence,2004
3920,20,sunshine,lil flip featuring lea,2004
3921,21,dirt off your shoulder,jayz,2004
3922,22,move ya body,nina sky,2004
3923,23,dip it low,christina milian,2004
3924,24,my boo,usher and alicia keys,2004
3925,25,one call away,chingy featuring jweav,2004
3926,26,me myself and i,beyonce,2004
3927,27,turn me on,kevin lyttle,2004
3928,28,the first cut is the deepest,sheryl crow,2004
3929,29,you dont know my name,alicia keys,2004
3930,30,my place,nelly featuring jaheim,2004
3931,31,overnight celebrity,twista,2004
3932,32,hotel,cassidy featuring r kelly,2004
3933,33,numb,linkin park,2004
3934,34,diary,alicia keys featuring tony toni tone,2004
3935,35,she will be loved,maroon 5,2004
3936,36,white flag,dido,2004
3937,37,heaven,los lonely boys,2004
3938,38,its my life,no doubt,2004
3939,39,pieces of me,ashlee simpson,2004
3940,40,leave get out,jojo,2004
3941,41,milkshake,kelis,2004
3942,42,splash waterfalls,ludacris,2004
3943,43,jesus walks,kanye west,2004
3944,44,locked up,akon featuring styles p,2004
3945,45,stand up,ludacris featuring shawnna,2004
3946,46,suga suga,baby bash featuring frankie j,2004
3947,47,all falls down,kanye west featuring syleena johnson,2004
3948,48,toxic,britney spears,2004
3949,49,salt shaker,ying yang twins featuring lil jon  the east side boyz,2004
3950,50,with you,jessica simpson,2004
3951,51,meant to live,switchfoot,2004
3952,52,i like that,houston featuring chingy nate dogg and i20,2004
3953,53,sorry 2004,ruben studdard,2004
3954,54,my happy ending,avril lavigne,2004
3955,55,on fire,lloyd banks,2004
3956,56,roses,outkast,2004
3957,57,walked outta heaven,jagged edge,2004
3958,58,lose my breath,destinys child,2004
3959,59,my band,d12,2004
3960,60,im still in love with you,sean paul featuring sasha,2004
3961,61,through the wire,kanye west,2004
3962,62,why,jadakiss,2004
3963,63,fuck it i dont want you back,eamon,2004
3964,64,read your mind,avant featuring snoop dogg,2004
3965,65,game over flip,lil flip,2004
3966,66,one thing,finger eleven,2004
3967,67,headsprung,ll cool j,2004
3968,68,damn,youngbloodz featuring lil jon,2004
3969,69,baby boy,beyonce featuring sean paul,2004
3970,70,get low,lil jon  the east side boyz featuring ying yang twins,2004
3971,71,drop it like its hot,snoop dogg featuring pharrell,2004
3972,72,u shouldve known better,monica,2004
3973,73,on the way down,ryan cabrera,2004
3974,74,breakaway,kelly clarkson,2004
3975,75,why dont you  i,santana featuring alex band,2004
3976,76,are you gonna be my girl,jet,2004
3977,77,100 years,five for fighting,2004
3978,78,step in the name of love,r kelly,2004
3979,79,breaking the habit,linkin park,2004
3980,80,gigolo,nick cannon featuring r kelly,2004
3981,81,live like you were dying,tim mcgraw,2004
3982,82,remember when,alan jackson,2004
3983,83,everytime,britney spears,2004
3984,84,southside,lloyd featuring ashanti,2004
3985,85,dude,beenie man,2004
3986,86,wanna get to know you,gunit featuring joe,2004
3987,87,holidae in,chingy featuring ludacris and snoop dogg,2004
3988,88,lets get it started,the black eyed peas,2004
3989,89,when the sun goes down,kenny chesney featuring uncle kracker,2004
3990,90,american soldier,toby keith,2004
3991,91,change clothes,jayz,2004
3992,92,dont tell me,avril lavigne,2004
3993,93,youll think of me,keith urban,2004
3994,94,happy people,r kelly,2004
3995,95,hey mama,the black eyed peas,2004
3996,96,over and over,nelly featuring tim mcgraw,2004
3997,97,redneck woman,gretchen wilson,2004
3998,98,just lose it,eminem,2004
3999,99,letters from home,john michael montgomery,2004
4000,100,i go back,kenny chesney,2004
4001,1,we belong together,mariah carey,2005
4002,2,hollaback girl,gwen stefani,2005
4003,3,let me love you,mario,2005
4004,4,since u been gone,kelly clarkson,2005
4005,5,1 2 step,ciara and missy elliott,2005
4006,6,gold digger,kanye west featuring jamie foxx,2005
4007,7,boulevard of broken dreams,green day,2005
4008,8,candy shop,50 cent featuring olivia,2005
4009,9,dont cha,the pussycat dolls featuring busta rhymes,2005
4010,10,behind these hazel eyes,kelly clarkson,2005
4011,11,disco inferno,50 cent,2005
4012,12,you and me,lifehouse,2005
4013,13,dont phunk with my heart,the black eyed peas,2005
4014,14,lose control,missy elliott featuring ciara and fatman scoop,2005
4015,15,shake it off,mariah carey,2005
4016,16,mr brightside,the killers,2005
4017,17,just a lil bit,50 cent,2005
4018,18,pon de replay,rihanna,2005
4019,19,how we do,the game featuring 50 cent,2005
4020,20,beverly hills,weezer,2005
4021,21,oh,ciara featuring ludacris,2005
4022,22,lonely no more,rob thomas,2005
4023,23,drop it like its hot,snoop dogg featuring pharrell,2005
4024,24,hate it or love it,the game featuring 50 cent,2005
4025,25,lovers  friends,lil jon featuring usher and ludacris,2005
4026,26,soldier,destinys child featuring ti and lil wayne,2005
4027,27,breakaway,kelly clarkson,2005
4028,28,switch,will smith,2005
4029,29,let me hold you,bow wow featuring omarion,2005
4030,30,like you,bow wow featuring ciara,2005
4031,31,rich girl,gwen stefani featuring eve,2005
4032,32,my humps,the black eyed peas,2005
4033,33,obsession no es amor,frankie j featuring baby bash,2005
4034,34,caught up,usher,2005
4035,35,listen to your heart,dht featuring edmee,2005
4036,36,scars,papa roach,2005
4037,37,feel good inc,gorillaz,2005
4038,38,let me go,3 doors down,2005
4039,39,holiday,green day,2005
4040,40,sugar were goin down,fall out boy,2005
4041,41,grind with me,pretty ricky,2005
4042,42,run it,chris brown featuring juelz santana,2005
4043,43,photograph,nickelback,2005
4044,44,lonely,akon,2005
4045,45,collide,howie day,2005
4046,46,wake me up when september ends,green day,2005
4047,47,slow down,bobby valentino,2005
4048,48,over and over,nelly featuring tim mcgraw,2005
4049,49,some cut,trillville featuring cutty,2005
4050,50,get it poppin,fat joe featuring nelly,2005
4051,51,play,david banner,2005
4052,52,soul survivor,young jeezy featuring akon,2005
4053,53,pimpin all over the world,ludacris featuring bobby valentino,2005
4054,54,my boo,usher and alicia keys,2005
4055,55,sugar gimme some,trick daddy featuring ludacris lil kim and cee lo green,2005
4056,56,karma,alicia keys,2005
4057,57,speed of sound,coldplay,2005
4058,58,i dont want to be,gavin degraw,2005
4059,59,mockingbird,eminem,2005
4060,60,la tortura,shakira featuring alejandro sanz,2005
4061,61,she will be loved,maroon 5,2005
4062,62,baby im back,baby bash featuring akon,2005
4063,63,wait the whisper song,ying yang twins,2005
4064,64,incomplete,backstreet boys,2005
4065,65,bring em out,ti,2005
4066,66,cater 2 u,destinys child,2005
4067,67,1 thing,amerie,2005
4068,68,best of you,foo fighters,2005
4069,69,its like that,mariah carey,2005
4070,70,goin crazy,natalie,2005
4071,71,inside your heaven,carrie underwood,2005
4072,72,because of you,kelly clarkson,2005
4073,73,truth is,fantasia,2005
4074,74,your body,pretty ricky,2005
4075,75,beautiful soul,jesse mccartney,2005
4076,76,cool,gwen stefani,2005
4077,77,get back,ludacris,2005
4078,78,outta control,50 cent featuring mobb deep,2005
4079,79,u dont know me,ti,2005
4080,80,these words,natasha bedingfield,2005
4081,81,dont lie,the black eyed peas,2005
4082,82,get right,jennifer lopez,2005
4083,83,daughters,john mayer,2005
4084,84,as good as i once was,toby keith,2005
4085,85,girlfight,brooke valentine featuring lil jon and big boi,2005
4086,86,lose my breath,destinys child,2005
4087,87,ordinary people,john legend,2005
4088,88,we be burnin,sean paul,2005
4089,89,just the girl,the click five,2005
4090,90,TRUE,ryan cabrera,2005
4091,91,o,omarion,2005
4092,92,back then,mike jones,2005
4093,93,numbencore,jayz and linkin park,2005
4094,94,wonderful,ja rule featuring r kelly and ashanti,2005
4095,95,im sprung,tpain,2005
4096,96,chariot,gavin degraw,2005
4097,97,u already know,112 featuring foxy brown,2005
4098,98,mississippi girl,faith hill,2005
4099,99,number one spot,ludacris,2005
4100,100,give me that,webbie featuring bun b,2005
4101,1,bad day,daniel powter,2006
4102,2,temperature,sean paul,2006
4103,3,promiscuous,nelly furtado featuring timbaland,2006
4104,4,youre beautiful,james blunt,2006
4105,5,hips dont lie,shakira featuring wyclef jean,2006
4106,6,unwritten,natasha bedingfield,2006
4107,7,crazy,gnarls barkley,2006
4108,8,ridin,chamillionaire featuring krayzie bone,2006
4109,9,sexyback,justin timberlake featuring timbaland,2006
4110,10,check on it,beyonce featuring slim thug,2006
4111,11,be without you,mary j blige,2006
4112,12,grillz,nelly paul wall and ali  gipp,2006
4113,13,over my head cable car,the fray,2006
4114,14,me  u,cassie,2006
4115,15,buttons,pussycat dolls featuring snoop dogg,2006
4116,16,run it,chris brown featuring juelz santana,2006
4117,17,so sick,neyo,2006
4118,18,its goin down,yung joc featuring nitti,2006
4119,19,sos,rihanna,2006
4120,20,i write sins not tragedies,panic at the disco,2006
4121,21,move along,the allamerican rejects,2006
4122,22,london bridge,fergie,2006
4123,23,dani california,red hot chili peppers,2006
4124,24,snap yo fingers,lil jon featuring e40 and sean paul,2006
4125,25,lean wit it rock wit it,dem franchize boyz,2006
4126,26,what hurts the most,rascal flatts,2006
4127,27,how to save a life,the fray,2006
4128,28,unfaithful,rihanna,2006
4129,29,chasing cars,snow patrol,2006
4130,30,lips of an angel,hinder,2006
4131,31,everytime we touch,cascada,2006
4132,32,aint no other man,christina aguilera,2006
4133,33,dance dance,fall out boy,2006
4134,34,gold digger,kanye west featuring jamie foxx,2006
4135,35,money maker,ludacris featuring pharrell,2006
4136,36,ms new booty,bubba sparxxx featuring ying yang twins,2006
4137,37,when you gonna give it up to me,sean paul featuring keyshia cole,2006
4138,38,photograph,nickelback,2006
4139,39,because of you,kelly clarkson,2006
4140,40,stickwitu,pussycat dolls,2006
4141,41,im n luv wit a stripper,tpain featuring mike jones,2006
4142,42,my humps,the black eyed peas,2006
4143,43,whered you go,fort minor featuring holly brook and jonah matranga,2006
4144,44,yo excuse me miss,chris brown,2006
4145,45,walk away,kelly clarkson,2006
4146,46,laffy taffy,d4l,2006
4147,47,what you know,ti,2006
4148,48,dirty little secret,the allamerican rejects,2006
4149,49,savin me,nickelback,2006
4150,50,dont forget about us,mariah carey,2006
4151,51,sexy love,neyo,2006
4152,52,u and dat,e40 featuring tpain and kandi girl,2006
4153,53,far away,nickelback,2006
4154,54,whats left of me,nick lachey,2006
4155,55,so what,field mob featuring ciara,2006
4156,56,do it to it,cherish featuring sean p,2006
4157,57,black horse and the cherry tree,kt tunstall,2006
4158,58,there it go the whistle song,juelz santana,2006
4159,59,shoulder lean,young dro featuring ti,2006
4160,60,unpredictable,jamie foxx featuring ludacris,2006
4161,61,my love,justin timberlake featuring ti,2006
4162,62,shake that,eminem featuring nate dogg,2006
4163,63,pullin me back,chingy featuring tyrese,2006
4164,64,bossy,kelis featuring too short,2006
4165,65,chain hang low,jibbs,2006
4166,66,smack that,akon featuring eminem,2006
4167,67,one wish,ray j,2006
4168,68,sugar were goin down,fall out boy,2006
4169,69,gimme that,chris brown featuring lil wayne,2006
4170,70,i know you see it,yung joc,2006
4171,71,who says you cant go home,bon jovi featuring jennifer nettles,2006
4172,72,too little too late,jojo,2006
4173,73,touch it,busta rhymes,2006
4174,74,rompe,daddy yankee,2006
4175,75,dej`a vu,beyonce featuring jayz,2006
4176,76,life is a highway,rascal flatts,2006
4177,77,call me when youre sober,evanescence,2006
4178,78,jesus take the wheel,carrie underwood,2006
4179,79,show stopper,danity kane featuring yung joc,2006
4180,80,get up,ciara featuring chamillionaire,2006
4181,81,we be burnin,sean paul,2006
4182,82,hate me,blue october,2006
4183,83,you and me,lifehouse,2006
4184,84,beep,pussycat dolls featuring william,2006
4185,85,i think they like me,dem franchize boyz featuring jermaine dupri da brat and bow wow,2006
4186,86,say goodbye,chris brown,2006
4187,87,waiting on the world to change,john mayer,2006
4188,88,soul survivor,young jeezy featuring akon,2006
4189,89,pump it,the black eyed peas,2006
4190,90,when im gone,eminem,2006
4191,91,hung up,madonna,2006
4192,92,stay fly,three 6 mafia featuring young buck and 8ball  mjg,2006
4193,93,love,keyshia cole,2006
4194,94,when youre mad,neyo,2006
4195,95,why you wanna,ti,2006
4196,96,stupid girls,pink,2006
4197,97,feel good inc,gorillaz,2006
4198,98,im sprung,tpain,2006
4199,99,do i make you proud,taylor hicks,2006
4200,100,for you i will confidence,teddy geiger,2006
4201,1,irreplaceable,beyonce,2007
4202,2,umbrella,rihanna featuring jayz,2007
4203,3,the sweet escape,gwen stefani featuring akon,2007
4204,4,big girls dont cry,fergie,2007
4205,5,buy u a drank shawty snappin,tpain featuring yung joc,2007
4206,6,before he cheats,carrie underwood,2007
4207,7,hey there delilah,plain white ts,2007
4208,8,i wanna love you,akon featuring snoop dogg,2007
4209,9,say it right,nelly furtado,2007
4210,10,glamorous,fergie featuring ludacris,2007
4211,11,dont matter,akon,2007
4212,12,girlfriend,avril lavigne,2007
4213,13,makes me wonder,maroon 5,2007
4214,14,party like a rockstar,shop boyz,2007
4215,15,smack that,akon featuring eminem,2007
4216,16,this is why im hot,mims,2007
4217,17,its not over,daughtry,2007
4218,18,the way i are,timbaland featuring keri hilson,2007
4219,19,fergalicious,fergie featuring william,2007
4220,20,crank that soulja boy,soulja boy tell em,2007
4221,21,give it to me,timbaland featuring nelly furtado and justin timberlake,2007
4222,22,what goes around comes around,justin timberlake,2007
4223,23,cupids chokehold,gym class heroes featuring patrick stump,2007
4224,24,how to save a life,the fray,2007
4225,25,home,daughtry,2007
4226,26,my love,justin timberlake featuring ti,2007
4227,27,stronger,kanye west,2007
4228,28,we fly high,jim jones,2007
4229,29,u  ur hand,pink,2007
4230,30,walk it out,unk,2007
4231,31,beautiful girls,sean kingston,2007
4232,32,this aint a scene its an arms race,fall out boy,2007
4233,33,bartender,tpain featuring akon,2007
4234,34,pop lock  drop it,huey,2007
4235,35,runaway love,ludacris featuring mary j blige,2007
4236,36,rockstar,nickelback,2007
4237,37,thnks fr th mmrs,fall out boy,2007
4238,38,what ive done,linkin park,2007
4239,39,summer love,justin timberlake,2007
4240,40,you,lloyd featuring lil wayne,2007
4241,41,wait for you,elliott yamin,2007
4242,42,last night,diddy featuring keyshia cole,2007
4243,43,make it rain,fat joe featuring lil wayne,2007
4244,44,make me better,fabolous featuring neyo,2007
4245,45,ice box,omarion featuring timbaland,2007
4246,46,lips of an angel,hinder,2007
4247,47,waiting on the world to change,john mayer,2007
4248,48,lost without u,robin thicke,2007
4249,49,im a flirt,r kelly featuring ti and tpain,2007
4250,50,if everyone cared,nickelback,2007
4251,51,get it shawty,lloyd,2007
4252,52,face down,the red jumpsuit apparatus,2007
4253,53,the way i live,baby boy da prince,2007
4254,54,shortie like mine,bow wow featuring chris brown and johnt'a austin,2007
4255,55,it ends tonight,the allamerican rejects,2007
4256,56,a bay bay,hurricane chris,2007
4257,57,because of you,neyo,2007
4258,58,i tried,bone thugsnharmony featuring akon,2007
4259,59,welcome to the black parade,my chemical romance,2007
4260,60,shawty,plies featuring tpain,2007
4261,61,chasing cars,snow patrol,2007
4262,62,beautiful liar,beyonce featuring shakira,2007
4263,63,sexyback,justin timberlake,2007
4264,64,keep holding on,avril lavigne,2007
4265,65,let it go,keyshia cole featuring missy elliott and lil kim,2007
4266,66,apologize,timbaland featuring onerepublic,2007
4267,67,bubbly,colbie caillat,2007
4268,68,like a boy,ciara,2007
4269,69,who knew,pink,2007
4270,70,never again,kelly clarkson,2007
4271,71,promise,ciara,2007
4272,72,bed,j holiday,2007
4273,73,throw some ds,rich boy featuring polow da don,2007
4274,74,rehab,amy winehouse,2007
4275,75,big shit poppin do it,ti,2007
4276,76,no one,alicia keys,2007
4277,77,the great escape,boys like girls,2007
4278,78,2 step,unk,2007
4279,79,walk away remember me,paula deanda featuring the dey,2007
4280,80,go getta,young jeezy featuring r kelly,2007
4281,81,here in your arms,hellogoodbye,2007
4282,82,on the hotline,pretty ricky,2007
4283,83,wind it up,gwen stefani,2007
4284,84,cyclone,baby bash featuring tpain,2007
4285,85,break it off,rihanna featuring sean paul,2007
4286,86,first time,lifehouse,2007
4287,87,ayo technology,50 cent featuring justin timberlake and timbaland,2007
4288,88,outta my system,bow wow featuring tpain and johnt'a austin,2007
4289,89,teardrops on my guitar,taylor swift,2007
4290,90,shut up and drive,rihanna,2007
4291,91,snow hey oh,red hot chili peppers,2007
4292,92,money maker,ludacris featuring pharrell,2007
4293,93,kiss kiss,chris brown featuring tpain,2007
4294,94,far away,nickelback,2007
4295,95,rock yo hips,crime mob and lil scrappy,2007
4296,96,lovestoned,justin timberlake,2007
4297,97,better than me,hinder,2007
4298,98,paralyzer,finger eleven,2007
4299,99,thats that,snoop dogg featuring r kelly,2007
4300,100,same girl,r kelly featuring usher,2007
4301,1,low,flo rida featuring tpain,2008
4302,2,bleeding love,leona lewis,2008
4303,3,no one,alicia keys,2008
4304,4,lollipop,lil wayne featuring static major,2008
4305,5,apologize,timbaland featuring onerepublic,2008
4306,6,no air,jordin sparks and chris brown,2008
4307,7,love song,sara bareilles,2008
4308,8,love in this club,usher featuring young jeezy,2008
4309,9,with you,chris brown,2008
4310,10,forever,chris brown,2008
4311,11,sexy can i,ray j featuring yung berg,2008
4312,12,take a bow,rihanna,2008
4313,13,viva la vida,coldplay,2008
4314,14,i kissed a girl,katy perry,2008
4315,15,whatever you like,ti,2008
4316,16,disturbia,rihanna,2008
4317,17,dont stop the music,rihanna,2008
4318,18,pocketful of sunshine,natasha bedingfield,2008
4319,19,kiss kiss,chris brown featuring tpain,2008
4320,20,closer,neyo,2008
4321,21,bubbly,colbie caillat,2008
4322,22,touch my body,mariah carey,2008
4323,23,4 minutes,madonna featuring justin timberlake and timbaland,2008
4324,24,so what,pink,2008
4325,25,paralyzer,finger eleven,2008
4326,26,clumsy,fergie,2008
4327,27,im yours,jason mraz,2008
4328,28,leavin,jesse mccartney,2008
4329,29,dangerous,kardinal offishall featuring akon,2008
4330,30,tattoo,jordin sparks,2008
4331,31,see you again,miley cyrus,2008
4332,32,shake it,metro station,2008
4333,33,stop and stare,onerepublic,2008
4334,34,take you there,sean kingston,2008
4335,35,paper planes,mia,2008
4336,36,hot n cold,katy perry,2008
4337,37,live your life,ti featuring rihanna,2008
4338,38,bust it baby part 2,plies featuring neyo,2008
4339,39,american boy,estelle featuring kanye west,2008
4340,40,got money,lil wayne featuring tpain,2008
4341,41,our song,taylor swift,2008
4342,42,damaged,danity kane,2008
4343,43,a milli,lil wayne,2008
4344,44,sorry,buckcherry,2008
4345,45,independent,webbie featuring lil boosie and lil phat,2008
4346,46,cant believe it,tpain featuring lil wayne,2008
4347,47,like youll never see me again,alicia keys,2008
4348,48,teardrops on my guitar,taylor swift,2008
4349,49,when i grow up,pussycat dolls,2008
4350,50,sexual eruption,snoop dogg,2008
4351,51,what you got,colby odonis featuring akon,2008
4352,52,its not my time,3 doors down,2008
4353,53,better in time,leona lewis,2008
4354,54,crank that soulja boy,soulja boy tell em,2008
4355,55,shadow of the day,linkin park,2008
4356,56,sweetest girl dollar bill,wyclef jean featuring akon lil wayne and niia,2008
4357,57,miss independent,neyo,2008
4358,58,fall for you,secondhand serenade,2008
4359,59,in the ayer,flo rida featuring william,2008
4360,60,say,john mayer,2008
4361,61,one step at a time,jordin sparks,2008
4362,62,hate that i love you,rihanna featuring neyo,2008
4363,63,superstar,lupe fiasco featuring matthew santos,2008
4364,64,suffocate,j holiday,2008
4365,65,let it rock,kevin rudolf featuring lil wayne,2008
4366,66,get like me,david banner featuring chris brown,2008
4367,67,realize,colbie caillat,2008
4368,68,put on,young jeezy featuring kanye west,2008
4369,69,the time of my life,david cook,2008
4370,70,lolli lolli pop that body,three 6 mafia,2008
4371,71,cyclone,baby bash featuring tpain,2008
4372,72,love like this,natasha bedingfield featuring sean kingston,2008
4373,73,burnin up,jonas brothers featuring big rob,2008
4374,74,love lockdown,kanye west,2008
4375,75,i luv your girl,thedream,2008
4376,76,crush,david archuleta,2008
4377,77,hypnotized,plies featuring akon,2008
4378,78,big girls dont cry,fergie,2008
4379,79,good life,kanye west featuring tpain,2008
4380,80,womanizer,britney spears,2008
4381,81,love story,taylor swift,2008
4382,82,just fine,mary j blige,2008
4383,83,piece of me,britney spears,2008
4384,84,the boss,rick ross featuring tpain,2008
4385,85,all summer long,kid rock,2008
4386,86,cant help but wait,trey songz,2008
4387,87,in love with a girl,gavin degraw,2008
4388,88,my life,the game featuring lil wayne,2008
4389,89,i remember,keyshia cole,2008
4390,90,flashing lights,kanye west featuring dwele,2008
4391,91,mrs officer,lil wayne featuring bobby valentino,2008
4392,92,7 things,miley cyrus,2008
4393,93,youre gonna miss this,trace adkins,2008
4394,94,love remains the same,gavin rossdale,2008
4395,95,feels like tonight,daughtry,2008
4396,96,the way i are,timbaland featuring keri hilson,2008
4397,97,addicted,saving abel,2008
4398,98,into the night,santana featuring chad kroeger,2008
4399,99,heaven sent,keyshia cole,2008
4400,100,she got it,2 pistols featuring tpain and tay dizm,2008
4401,1,boom boom pow,the black eyed peas,2009
4402,2,poker face,lady gaga,2009
4403,3,just dance,lady gaga featuring colby odonis,2009
4404,4,i gotta feeling,the black eyed peas,2009
4405,5,love story,taylor swift,2009
4406,6,right round,flo rida,2009
4407,7,im yours,jason mraz,2009
4408,8,single ladies put a ring on it,beyonce,2009
4409,9,heartless,kanye west,2009
4410,10,gives you hell,the allamerican rejects,2009
4411,11,you belong with me,taylor swift,2009
4412,12,dead and gone,ti featuring justin timberlake,2009
4413,13,you found me,the fray,2009
4414,14,use somebody,kings of leon,2009
4415,15,knock you down,keri hilson featuring kanye west and neyo,2009
4416,16,blame it,jamie foxx featuring tpain,2009
4417,17,i know you want me calle ocho,pitbull,2009
4418,18,live your life,ti featuring rihanna,2009
4419,19,kiss me thru the phone,soulja boy tell em featuring sammie,2009
4420,20,down,jay sean featuring lil wayne,2009
4421,21,the climb,miley cyrus,2009
4422,22,best i ever had,drake,2009
4423,23,my life would suck without you,kelly clarkson,2009
4424,24,halo,beyonce,2009
4425,25,hot n cold,katy perry,2009
4426,26,second chance,shinedown,2009
4427,27,circus,britney spears,2009
4428,28,day n nite,kid cudi,2009
4429,29,party in the usa,miley cyrus,2009
4430,30,dont trust me,3oh3,2009
4431,31,run this town,jayz featuring rihanna and kanye west,2009
4432,32,let it rock,kevin rudolf featuring lil wayne,2009
4433,33,fire burning,sean kingston,2009
